학번,학생이름,전화번호,주소,학년,학과,학과명,교과교수
S0047,심장호,010-4506-9685,광주시 서구 치평동 1223-3,3,002,전자공학,이철기
S0048,아동은,010-8033-1552,경기도 파주시 동패동 56,2,001,컴퓨터공학,토발즈
S0049,야유신,010-6645-9531,경기도 일산시 서구 대화동 2606,1,006,영어영문,권오순
S0050,양동인,010-7385-3189,광주시 남구 진월동 259번지,2,001,컴퓨터공학,토발즈
S0051,양은성,010-2777-6626,부산시 동래구 명륜동 569-12,3,008,미술학,필리스
S0052,어민기,010-6924-3023,전북 김제시 검산동 844,1,007,무역학,심하군
S0053,엄은진,010-9238-5398,경기도 용인시 처인구 김량장동 23-1번지,2,005,국어국문,백석기
S0054,여동은,010-3363-9741,충남 천안시 석북구 백석동 878번지,4,003,법학,킹스필드
S0055,여민국,010-5086-7204,경기도 수원시 권선구 금곡동 572-5,1,005,국어국문,백석기
S0056,연연재,010-3955-2743,서울시 영등포구 여의도동 23번지,4,010,정보통신공학,최양록
S0057,옥원준,010-2797-1122,강원도 원주시 문막읍 동화리 113번지,1,004,관광학,이한우
S0058,옥채훈,010-5575-4981,서울시 광진구 구의동 611번지,1,002,전자공학,이철기
S0059,옹효성,010-4695-7301,충남 공주시 중동 67-3번지,3,002,전자공학,이철기
S0060,운윤태,010-6772-5785,인천시 서구 마전동 621-5,1,006,영어영문,권오순
S0061,원성빈,010-8221-5180,울산시 동구 서부동 315-34,2,009,고전음악학,파파로티
S0062,유민국,010-3107-4945,경기도 수원시 천천동 528-1,2,002,전자공학,이철기
S0063,유성율,010-3719-1053,충남 공주시 신관동 191-7번지,3,006,영어영문,권오순
S0064,유준호,010-8251-9356,경기도 안산시 상록구 본오동 874-11,4,002,전자공학,이철기
S0065,은채혁,010-9145-4712,충남 아산시 탕정면 명암리 931-1,1,009,고전음악학,파파로티
S0066,은현준,010-1037-5508,대전시 서구 도안동 963번지,2,010,정보통신공학,최양록
S0067,이윤진,010-5227-1463,전남 여수시 종화동 470,4,003,법학,킹스필드
S0068,전동원,010-9218-7235,인천시 송도 커넬워크 3동,3,010,정보통신공학,최양록
S0069,점재민,010-7161-1398,울산시 중구 태화동 593-17,2,004,관광학,이한우
S0070,제갈동연,010-6956-9010,경기도 고양시 일산구 주엽2동 22번지,3,006,영어영문,권오순
S0071,제동희,010-3548-5320,경기도 용인시 기흥구 보라동 579-2,1,008,미술학,필리스
S0072,제민기,010-2721-6460,부산시 해운대구 좌동 1270-5 103호,4,004,관광학,이한우
S0073,제영후,010-5682-7932,경북 경주시 천군동 206-3,4,001,컴퓨터공학,토발즈
S0074,제유상,010-1527-7644,경기도 남양주시 별내면 화점리 58-65,4,009,고전음악학,파파로티
S0075,지승현,010-5819-2071,충남 천안시 불당동 아산신도시 222,3,007,무역학,심하군
S0076,진대원,010-1743-1447,부산시 연제구 연산동728-1번지,1,006,영어영문,권오순
S0077,진대윤,010-8814-2202,경기도 가평군 청평면 대성리 399-103,1,006,영어영문,권오순
S0078,진동혜,010-1499-1703,대전시 서구 도마동 29-32번지,3,006,영어영문,권오순
S0079,진승우,010-3175-4442,인천시 계양구 임학동 67-9,2,005,국어국문,백석기
S0080,진승일,010-9156-0151,경기도 수원시 영통구 광교신도시 2-51-1,1,001,컴퓨터공학,토발즈
S0081,진승환,010-2459-4832,인천시 연수구 선학동 406-5번지,2,009,고전음악학,파파로티
S0082,초시민,010-1583-6090,서울시 동대문구 전농동 30-3,4,010,정보통신공학,최양록
S0083,초원혁,010-9966-9550,광주시 북구 운암동1044-2번지,3,008,미술학,필리스
S0084,초재현,010-6843-4167,광주시 서구 금호동 762-5번지,2,007,무역학,심하군
S0085,최장현,010-3426-2583,경북 경주시 북군동 57-24,4,005,국어국문,백석기
S0086,춘대권,010-2926-7450,충남 부여군 부여읍 구아리 96-4,1,002,전자공학,이철기
S0087,춘인규,010-3565-8043,경남 진주시 상대동 300-59번지,3,008,미술학,필리스
S0088,춘찬영,010-3467-9350,울산시 중구 옥교동 95,1,010,정보통신공학,최양록
S0089,판한수,010-3159-2383,서울시 종로구 관철동 5-13 1층,1,001,컴퓨터공학,토발즈
S0090,평윤섭,010-3307-1178,인천시 연수구 동춘동 937-3번지,3,008,미술학,필리스
S0091,풍동해,010-7822-7973,서울시 중구 신당동 140-10 1층,1,004,관광학,이한우
S0092,피태영,010-8652-2024,경기도 부천 원미구 상동 539-1 4층,3,003,법학,킹스필드
S0093,필영후,010-3036-6327,서울시 서대문구 성산로 250번지,4,006,영어영문,권오순
S0094,하재찬,010-7202-5984,대구시 달서구 감삼동 452-3,1,003,법학,킹스필드
S0095,함민서,010-1025-0331,경기도 수원시 영통구 광교신도시 13,3,010,정보통신공학,최양록
S0096,해송혁,010-5194-0816,전남 목포시 용당동 1088-8,1,001,컴퓨터공학,토발즈
S0097,허시후,010-6041-5809,경남 거창군 거창읍 상림리 825번지,2,003,법학,킹스필드
S0098,황원혁,010-8911-4736,울산시 남구 달동 130-3번지,1,003,법학,킹스필드
S0099,흥동현,010-4038-6439,서울시 양천구 신정동 1183-9,3,004,관광학,이한우
S0100,흥은성,010-7096-1464,경북 구미시 봉곡동 204-1,4,009,고전음악학,파파로티
